#{"t_start": 1671536172.329341, "env_id": null}
r,l,t
1474.469607,200,387.739716
1412.937646,200,388.101192
1415.393489,200,388.457462
1418.155311,200,388.818667
-1091.844369,200,389.185219
-1134.314479,200,389.551815
1449.979213,200,389.906867
1452.916389,200,390.272696
1471.918225,200,390.636034
1452.833947,200,391.7033
1441.058949,200,392.063639
1539.305374,200,392.423858
1481.107758,200,392.788744
1535.721684,200,393.147038
1499.085093,200,393.515951
1476.84561,200,393.876195
1538.958085,200,394.238028
1503.540151,200,394.592771
1477.239144,200,394.953717
1482.005672,200,395.317377
1480.74937,200,396.290359
1489.440267,200,396.652234
1494.06301,200,397.009475
1475.811431,200,397.369742
1500.639491,200,397.728534
1473.971376,200,398.094539
1495.369694,200,398.616975
-1274.41679,200,399.00696
-1296.537916,200,399.373731
-1246.427303,200,399.731718
-1248.189791,200,400.761354
1508.920771,200,401.127289
-1277.159769,200,401.510466
1496.9748,200,401.886772
-1167.201119,200,402.239972
-1324.48826,200,402.605804
1471.527811,200,402.965478
1535.188106,200,403.325178
1550.570097,200,403.688524
1519.200853,200,404.04937
1491.303899,200,405.036128
1505.646633,200,405.401281
1483.06456,200,405.760512
1577.719102,200,406.123779
1521.815432,200,406.494839
1479.433483,200,406.861071
-1336.053956,200,407.224264
1467.233998,200,407.586255
1481.942972,200,407.953811
1485.689065,200,408.31703
1489.680148,200,409.471212
1475.250848,200,409.837935
1485.82484,200,410.195017
1502.860378,200,410.563159
1510.019643,200,410.924968
-1251.185093,200,411.288531
1488.853302,200,411.644932
1471.418569,200,412.004539
-1290.44826,200,412.362812
1494.481693,200,412.732089
1559.437186,200,413.093554
1499.854376,200,414.073088
1528.608272,200,414.435872
1593.038638,200,414.803703
1514.680979,200,415.169334
-1405.096659,200,415.531127
1514.604616,200,415.9018
-1374.114331,200,416.263801
1497.406981,200,416.62329
1480.853454,200,416.984225
1492.080409,200,417.353607
1494.620588,200,418.362002
1517.621265,200,418.725151
1490.56673,200,419.097091
1546.918739,200,419.4589
1499.737921,200,419.833045
1507.576321,200,420.189716
1489.563655,200,420.552681
1467.708423,200,420.944413
-1376.406292,200,421.405519
1508.079583,200,421.92912
-1317.220924,200,423.173939
-1385.779386,200,423.562923
1487.237204,200,423.93178
1479.270071,200,424.29202
1544.727031,200,424.650997
1555.191225,200,425.024789
1492.564121,200,425.388322
1483.775371,200,425.759251
1486.846799,200,426.122506
1465.699329,200,426.484374
1559.058519,200,427.538867
1494.932442,200,427.88976
1464.64339,200,428.253719
1490.037334,200,428.620925
1448.464635,200,428.979535
1474.919392,200,429.353013
1492.153738,200,429.713491
-1265.29314,200,430.080038
1497.204561,200,430.443762
1489.324867,200,430.817054
1550.176036,200,431.177455
1500.640232,200,432.237847
-1217.11491,200,432.600559
1489.602341,200,432.978904
-1187.022171,200,433.349251
1493.177132,200,433.704557
1489.346285,200,434.063103
1498.206767,200,434.557126
1478.457139,200,435.01989
1497.955762,200,435.484646
1549.910391,200,435.867405
1580.43321,200,437.076677
1486.791001,200,437.445011
-1358.106801,200,437.806183
1486.603305,200,438.1711
1505.501057,200,438.536699
1464.642379,200,438.903248
1506.246055,200,439.269938
1492.607658,200,439.630842
1486.966745,200,440.00327
1471.3047,200,440.365499
1550.614438,200,441.388663
1494.999956,200,441.757467
-1327.031659,200,442.124464
-1304.11781,200,442.490755
1506.113123,200,442.85244
1510.360595,200,443.221593
1475.923779,200,443.579845
1487.502202,200,443.940744
1491.426225,200,444.305108
1525.422388,200,444.676159
-1346.413512,200,445.626871
1487.321329,200,445.988179
1508.418664,200,446.350924
1553.110878,200,446.712066
1493.733844,200,447.079272
1462.520674,200,447.467911
1565.471334,200,447.826621
1495.79055,200,448.1895
1496.516728,200,448.555151
