#{"t_start": 1673606808.345397, "env_id": null}
r,l,t
1498.104872,100,77.983092
1526.040978,100,78.026213
1529.215529,100,78.060041
1520.937518,100,78.095489
1529.687405,100,78.132114
1496.842014,100,78.164416
1536.914512,100,78.204607
1505.685136,100,78.238055
1513.685892,100,78.280771
1494.099193,100,78.314869
1520.707141,100,78.35067
1525.160178,100,78.3865
1504.730146,100,78.419722
1510.232374,100,78.458001
1510.643011,100,78.493704
1520.805849,100,78.539174
1498.38384,100,78.976487
1530.096329,100,79.009036
1515.60368,100,79.048344
1511.71672,100,79.082247
1533.06502,100,79.119758
1534.851139,100,79.154516
1500.880655,100,79.188179
1519.826341,100,79.227206
1532.933351,100,79.264294
1510.232374,100,79.312969
1533.06502,100,79.348211
1519.151399,100,79.385231
1529.517301,100,79.421886
1536.033712,100,79.458744
1519.826341,100,79.497974
1507.021103,100,79.532671
1529.215529,100,79.57145
1519.453172,100,79.61752
1529.517301,100,79.652387
1517.461195,100,79.685821
1542.827377,100,79.724382
1514.962666,100,79.759484
1531.750778,100,79.79376
1541.946577,100,79.833713
1526.246837,100,79.868309
1533.06502,100,79.906652
1534.549366,100,79.943
1544.311723,100,79.982014
1529.819074,100,80.020231
1511.523811,100,80.058933
1531.580675,100,80.094032
1523.302664,100,80.138655
1500.074044,100,80.174003
1546.978642,100,80.223766
1525.66781,100,80.266711
1526.271355,100,80.304522
1508.9556,100,80.34153
1537.518058,100,80.381544
1531.580675,100,80.419151
1493.727737,100,80.457837
1526.54861,100,80.49419
1522.120091,100,80.96352
1521.818318,100,80.997798
1518.849626,100,81.037209
1536.914512,100,81.071136
1531.580675,100,81.110686
1521.384876,100,81.143723
1524.353568,100,81.182632
1539.581431,100,81.218251
1500.301627,100,81.25864
1524.183464,100,81.302547
1528.032956,100,81.339936
1525.064264,100,81.389388
1521.516545,100,81.424263
1537.216285,100,81.459236
1535.731939,100,81.499892
1529.517301,100,81.537195
1528.406124,100,81.579479
1507.567169,100,81.613045
1535.298497,100,81.651417
1522.869222,100,81.6842
1521.516545,100,81.721897
1519.01973,100,81.755841
1528.032956,100,81.793148
1542.525604,100,81.829245
1538.977885,100,81.864564
1519.453172,100,81.907483
1510.741719,100,81.942497
